State/Province,Average_Sightings
AR,1.0
CT,5.0
FL,26.333333333333332
IA,19.57894736842105
IL,74.92857142857143
IN,6.818181818181818
KS,27.5
KY,1.0
MA,1.8333333333333333
MB,1.0
MI,60.857142857142854
MN,23.785714285714285
MO,2.6666666666666665
NB,2.5
NC,10.666666666666666
ND,30.0
NE,222.4
NH,2.0
NJ,1.0
NY,6.333333333333333
OH,102.5
OK,30.416666666666668
ON,53.46153846153846
SC,59.4
TN,2.75
TX,37.125
UT,1.0
VT,15.0
WI,23.11111111111111
